ERBB2	EGFR	MET
CRC1161	FALSE	FALSE	FALSE
CRC1162	FALSE	FALSE	FALSE
CRC1164	FALSE	FALSE	FALSE
CRC1165	FALSE	FALSE	FALSE
CRC1166	FALSE	FALSE	FALSE
CRC1168	FALSE	FALSE	FALSE
CRC1169	FALSE	FALSE	TRUE
CRC1170	FALSE	FALSE	FALSE
CRC1171	FALSE	FALSE	FALSE
CRC1174	FALSE	FALSE	FALSE
CRC1175	FALSE	FALSE	FALSE
CRC1176	FALSE	FALSE	FALSE
CRC1179	FALSE	FALSE	FALSE
CRC1180	FALSE	FALSE	FALSE
CRC1181	FALSE	FALSE	FALSE
CRC1182	FALSE	FALSE	FALSE
CRC1185	TRUE	FALSE	FALSE
CRC1188	FALSE	FALSE	FALSE
CRC1190	FALSE	FALSE	FALSE
CRC1194	FALSE	FALSE	FALSE
CRC1197	FALSE	FALSE	FALSE
CRC1198	FALSE	FALSE	FALSE
CRC1200	FALSE	FALSE	FALSE
CRC1201	FALSE	FALSE	FALSE
CRC1234	FALSE	FALSE	FALSE
CRC1237	FALSE	FALSE	FALSE
CRC1239	FALSE	FALSE	FALSE
CRC1240	FALSE	FALSE	FALSE
CRC1241	FALSE	FALSE	FALSE
CRC1242	FALSE	FALSE	FALSE
CRC1245	FALSE	FALSE	FALSE
CRC1246	FALSE	FALSE	FALSE
CRC1247	FALSE	FALSE	FALSE
CRC1249	FALSE	FALSE	FALSE
CRC1251	FALSE	FALSE	FALSE
CRC1252	FALSE	FALSE	FALSE
CRC1257	FALSE	FALSE	FALSE
CRC1261	FALSE	FALSE	FALSE
CRC1262	FALSE	FALSE	FALSE
CRC1263	FALSE	FALSE	FALSE
CRC1264	FALSE	FALSE	FALSE
CRC1266	FALSE	FALSE	FALSE
CRC1272	FALSE	FALSE	FALSE
CRC1273	FALSE	FALSE	FALSE
CRC1275	FALSE	FALSE	FALSE
CRC1277	FALSE	FALSE	FALSE
CRC1278	FALSE	FALSE	FALSE
CRC1279	FALSE	FALSE	FALSE
CRC1280	FALSE	FALSE	FALSE
CRC1281	FALSE	FALSE	FALSE
CRC1288	FALSE	FALSE	FALSE
CRC1303	FALSE	FALSE	FALSE
CRC1304	FALSE	FALSE	FALSE
CRC1306	FALSE	FALSE	FALSE
CRC1307	FALSE	FALSE	FALSE
CRC1308	FALSE	FALSE	FALSE
CRC1309	FALSE	FALSE	FALSE
CRC1313	FALSE	FALSE	FALSE
CRC1314	FALSE	FALSE	FALSE
CRC1317	FALSE	FALSE	FALSE
CRC1318	FALSE	FALSE	FALSE
CRC1319	FALSE	FALSE	FALSE
CRC1320	FALSE	FALSE	FALSE
CRC1321	FALSE	FALSE	FALSE
CRC1325	FALSE	FALSE	FALSE
CRC1326	FALSE	FALSE	FALSE
CRC1329	FALSE	FALSE	FALSE
CRC1331	FALSE	FALSE	FALSE
CRC1334	FALSE	FALSE	FALSE
CRC1336	FALSE	FALSE	FALSE
CRC1337	FALSE	FALSE	FALSE
CRC1340	FALSE	FALSE	FALSE
CRC1342	FALSE	FALSE	FALSE
CRC1343	FALSE	FALSE	FALSE
CRC1344	FALSE	FALSE	FALSE
CRC1350	FALSE	FALSE	FALSE
CRC1353	FALSE	FALSE	FALSE
CRC1354	FALSE	FALSE	FALSE
CRC1355	FALSE	FALSE	FALSE
CRC1356	FALSE	FALSE	FALSE
CRC1357	FALSE	FALSE	FALSE
CRC1359	FALSE	FALSE	FALSE
CRC1360	FALSE	FALSE	FALSE
CRC1367	FALSE	FALSE	FALSE
CRC1368	FALSE	FALSE	FALSE
CRC1369	FALSE	FALSE	FALSE
CRC1370	FALSE	FALSE	FALSE
CRC1372	FALSE	FALSE	FALSE
CRC1374	FALSE	FALSE	FALSE
CRC1375	FALSE	FALSE	FALSE
CRC1376	FALSE	FALSE	FALSE
CRC1378	FALSE	FALSE	FALSE
CRC1379	TRUE	FALSE	FALSE
CRC1381	FALSE	FALSE	FALSE
CRC1382	FALSE	FALSE	FALSE
CRC1387	FALSE	FALSE	FALSE
CRC1389	FALSE	FALSE	FALSE
CRC1390	FALSE	FALSE	FALSE
CRC1391	FALSE	FALSE	FALSE
CRC1397	FALSE	FALSE	FALSE
CRC1399	FALSE	FALSE	FALSE
CRC1403	FALSE	FALSE	FALSE
CRC1408	FALSE	FALSE	FALSE
CRC1409	FALSE	FALSE	FALSE
CRC1412	FALSE	FALSE	FALSE
CRC1413	FALSE	FALSE	FALSE
CRC1414	FALSE	FALSE	FALSE
CRC1418	FALSE	FALSE	FALSE
CRC1419	FALSE	FALSE	FALSE
CRC1420	FALSE	FALSE	FALSE
CRC1426	FALSE	FALSE	FALSE
CRC1429	FALSE	FALSE	FALSE
CRC1430	TRUE	FALSE	FALSE
CRC1431	FALSE	FALSE	FALSE
CRC1432	TRUE	FALSE	FALSE
CRC1435	FALSE	FALSE	FALSE
CRC1436	FALSE	FALSE	FALSE
CRC1441	FALSE	FALSE	FALSE
CRC1442	FALSE	FALSE	FALSE
CRC1445	FALSE	FALSE	FALSE
CRC1446	FALSE	FALSE	FALSE
CRC1448	FALSE	FALSE	FALSE
CRC1449	FALSE	FALSE	FALSE
CRC1451	FALSE	FALSE	FALSE
CRC1452	FALSE	FALSE	FALSE
CRC1458	FALSE	FALSE	FALSE
CRC1460	FALSE	FALSE	FALSE
CRC1461	FALSE	FALSE	FALSE
CRC1464	FALSE	FALSE	FALSE
CRC1472	FALSE	FALSE	FALSE
CRC1473	FALSE	FALSE	FALSE
CRC1474	FALSE	FALSE	FALSE
CRC1477	FALSE	FALSE	FALSE
CRC1479	FALSE	FALSE	FALSE
CRC1483	FALSE	FALSE	FALSE
CRC1485	FALSE	FALSE	FALSE
CRC1486	FALSE	FALSE	FALSE
CRC1487	FALSE	FALSE	FALSE
CRC1489	FALSE	FALSE	FALSE
CRC1490	FALSE	FALSE	FALSE
CRC1492	FALSE	FALSE	FALSE
CRC1493	FALSE	FALSE	FALSE
CRC1499	FALSE	FALSE	FALSE
CRC1500	FALSE	FALSE	FALSE
CRC1501	FALSE	FALSE	FALSE
CRC1502	FALSE	FALSE	FALSE
CRC1504	FALSE	FALSE	FALSE
CRC1507	FALSE	FALSE	FALSE
CRC1508	FALSE	FALSE	FALSE
CRC1513	FALSE	FALSE	FALSE
CRC1515	FALSE	FALSE	FALSE
CRC1516	FALSE	FALSE	FALSE
CRC1519	FALSE	FALSE	FALSE
CRC1520	FALSE	FALSE	FALSE
CRC1521	FALSE	FALSE	FALSE
CRC1522	FALSE	FALSE	FALSE
CRC1523	FALSE	FALSE	FALSE
CRC1524	FALSE	FALSE	FALSE
CRC1529	FALSE	FALSE	FALSE
CRC1530	FALSE	FALSE	FALSE
CRC1531	FALSE	FALSE	FALSE
CRC1561	FALSE	FALSE	FALSE
CRC1562	FALSE	FALSE	FALSE
CRC1563	FALSE	FALSE	FALSE
CRC1565	FALSE	FALSE	FALSE
CRC1566	FALSE	FALSE	FALSE
CRC1567	FALSE	FALSE	FALSE
CRC1568	FALSE	FALSE	FALSE
CRC1569	FALSE	FALSE	FALSE
CRC1574	FALSE	FALSE	FALSE
CRC1575	FALSE	FALSE	FALSE
CRC1578	FALSE	FALSE	FALSE
CRC1579	FALSE	FALSE	FALSE
CRC1580	FALSE	FALSE	FALSE
CRC1581	FALSE	FALSE	FALSE
CRC1586	FALSE	FALSE	FALSE
CRC1587	FALSE	FALSE	FALSE
CRC1588	FALSE	FALSE	FALSE
CRC1589	FALSE	FALSE	FALSE
CRC1592	FALSE	FALSE	FALSE
CRC1594	FALSE	FALSE	FALSE
CRC1598	FALSE	FALSE	FALSE
CRC1599	FALSE	FALSE	FALSE
CRC1601	FALSE	FALSE	FALSE
CRC1603	FALSE	FALSE	FALSE
CRC1605	FALSE	FALSE	FALSE
CRC1606	FALSE	FALSE	FALSE
CRC1614	FALSE	FALSE	FALSE
CRC1615	FALSE	FALSE	FALSE
CRC1620	FALSE	FALSE	FALSE
CRC1621	FALSE	FALSE	FALSE
CRC1624	FALSE	FALSE	FALSE
CRC1625	FALSE	FALSE	FALSE
CRC1626	FALSE	FALSE	FALSE
CRC1628	FALSE	FALSE	FALSE
